word1,word2,freq
we,have,7748
15,4.95E+12,11
4.95E+12,min,577
a,few,10409
and,it,5663
going,to,20272
have,been,9948
have,to,15617
in,this,5778
one,of,16089
to,do,14439
was,the,6006
as,you,1851
couple,of,2505
i,did,3933
i,will,9621
if,you,20841
part,of,6132
to,me,7370
want,to,16480
which,is,3938
=,as,4199
=,in,9900
=,what,11604
15,5.19E+12,32
15,5.23E+12,30
5.19E+12,min,660
5.23E+12,min,671
a,couple,3336
as,the,7512
has,been,8334
i,didnt,5121
is,not,7974
it,meta,20128
it,will,3497
some,of,5891
that,this,1768
the,first,11233
there,is,8470
time,to,6583
to,have,9399
to,see,15154
trying,to,7260
you,to,4338
=,a,9947
=,im,18709
=,it,10344
=,so,14557
15,4.94E+12,8
15,5.21E+12,28
4.94E+12,min,532
5.21E+12,min,623
a,good,10273
a,little,9918
a,new,7346
and,then,6639
and,we,4024
back,to,7053
be,a,11501
can,be,5732
had,a,9316
had,to,5043
i,love,15834
it,to,4488
lot,of,6328
of,these,2525
on,a,11549
out,to,3561
such,as,2632
the,other,5674
the,world,8196
there,are,7251
they,have,3139
through,the,3934
to,take,5333
when,i,11555
15,4.89E+12,7
15,4.90E+12,7
15,5.10E+12,7
15,5.20E+11,28
15,5.22E+11,28
15,5.25E+12,28
4.89E+12,min,571
4.90E+12,min,569
5.10E+12,min,617
5.20E+11,min,641
5.22E+11,min,613
5.25E+12,min,607
a,great,11774
a,long,2700
about,the,8969
all,the,13579
be,able,2540
did,not,2766
for,me,7034
i,know,11136
into,a,3493
is,that,6261
it,a,1740
like,the,4762
need,to,12258
over,the,6047
the,best,10339
the,next,5449
the,one,3038
the,way,6418
there,was,3662
they,are,8994
to,know,3331
to,wear,377
to,your,2657
up,and,3747
we,had,2858
when,you,7089
would,be,9719
you,have,11507
you,know,8076
=,after,2032
=,its,13279
=,my,12658
a,big,3079
a,bit,4972
all,of,7123
allowed,to,350
and,my,3031
and,you,3712
as,i,5411
at,a,4988
at,this,1744
but,the,5395
decided,to,2355
do,not,3675
get,a,5198
go,to,6654
had,been,2842
have,some,879
he,is,4887
how,to,4859
i,can,11711
i,like,4441
if,it,2147
ive,been,3529
me,i,3233
me,meta,13379
more,than,6813
not,have,1322
not,to,3478
of,all,2953
of,course,4979
of,our,4724
seem,to,1403
should,be,5272
so,much,9301
that,he,4197
that,is,8845
that,it,4114
that,they,3526
that,was,5448
the,french,140
the,only,5140
to,come,3310
to,say,5174
up,the,3531
wanted,to,4095
we,were,3827
when,the,3870
you,meta,17459
you,see,1296
=,now,3225
=,well,5038
15,4.84E+12,13
15,4.91E+12,5
4.84E+12,min,593
4.91E+12,min,572
a,large,1081
ability,to,861
and,his,2609
and,in,2773
and,its,3144
and,that,4071
are,a,2655
around,the,3007
as,we,1926
as,well,6176
at,least,6076
been,a,2732
do,the,1338
do,you,9468
dont,know,4637
end,of,3534
enough,to,2387
for,all,2513
for,us,1414
get,the,2919
have,the,4328
he,was,7502
i,dont,16901
i,hope,5223
i,just,10851
i,made,1597
i,thought,4397
i,wanted,1972
i,would,8222
in,his,3713
in,our,2919
in,some,968
in,that,1977
in,your,4265
look,at,2947
made,a,1216
majority,of,348
me,to,5726
my,own,1956
of,that,2499
on,their,1512
people,who,2647
piece,of,965
seems,to,1517
take,a,2762
that,can,775
that,there,1416
the,chicken,142
the,end,4770
the,rest,2675
the,s,1395
the,whole,2566
to,an,1147
to,go,10719
to,my,6826
until,the,1152
up,to,5370
was,not,2340
way,to,6147
we,are,10154
we,do,1276
year,old,764
your,own,1339
=,if,12436
=,that,6825
=,they,2700
=,when,7591
=,you,16803
a,small,1812
a,time,1299
a,very,3357
about,this,1367
after,all,821
after,the,2854
again,we,10
all,over,1137
along,with,1619
an,hour,965
and,her,1372
and,is,1997
and,more,1697
and,will,1155
are,the,4563
as,an,1747
as,they,1762
away,from,2075
back,in,2317
based,on,1436
because,i,3537
been,in,566
but,not,1761
but,she,596
can,see,1193
didnt,have,695
due,to,1584
during,the,2870
even,if,1515
even,though,1589
for,some,1973
for,that,1708
for,their,1343
french,toast,10
from,a,3858
has,a,4424
i,cant,8387
i,got,5966
i,loved,503
i,mean,1553
i,saw,1824
i,used,1919
if,we,1808
im,not,6806
in,an,2434
in,i,235
is,an,3010
is,going,2994
is,my,2558
is,to,3827
it,doesnt,1187
it,had,715
its,not,4291
its,time,666
just,a,3297
kind,of,5094
know,how,1989
know,what,3743
love,of,239
might,be,2011
minutes,of,110
my,favorite,2401
my,life,3720
not,only,1898
not,sure,1768
of,her,2551
of,it,3773
of,this,5354
of,those,2846
of,weeks,139
of,what,1960
of,you,3751
on,his,1813
on,this,3009
one,in,490
one,who,449
or,a,1748
s,and,267
said,he,1612
see,what,1059
she,got,103
so,many,2851
someone,else,310
that,she,2007
that,would,2092
thats,all,224
the,band,357
the,bank,120
the,boat,78
the,day,5423
the,last,5718
the,little,765
the,same,11642
the,truth,925
their,way,211
them,as,288
them,in,1155
think,i,2372
this,point,549
this,was,2290
this,week,4053
to,follow,1371
to,give,2943
to,put,1866
to,show,1216
to,their,1331
to,watch,2007
top,of,1331
try,to,3111
up,for,2281
wants,to,1732
was,an,1041
we,can,4218
we,shall,46
we,should,782
we,want,568
weeks,ago,352
well,i,1089
what,could,57
what,i,5799
which,are,394
with,no,734
with,this,1635
would,have,3887
you,do,2887
your,love,47
=,but,6576
=,cut,19
=,for,4073
=,ive,2944
=,she,2023
=,these,812
=,tina,3
=,we,13923
=,while,963
=,your,2381
a,and,265
a,bad,990
a,card,143
a,credit,22
a,half,446
a,mother,107
a,pint,18
a,step,63
a,week,1769
about,it,3373
ago,i,411
all,i,1732
allow,for,19
although,i,328
am,the,144
an,old,502
and,for,1446
and,if,1613
and,now,1527
and,so,1799
and,some,1255
and,there,1388
and,this,1424
and,throw,15
and,very,211
and,were,480
and,what,1463
any,of,1217
are,meta,828
are,some,773
as,possible,441
as,soon,444
at,all,2879
be,the,5036
been,able,188
before,meta,196
before,the,2014
believe,that,827
bit,of,1801
bought,a,140
but,also,702
but,for,577
but,i,14049
but,im,1925
by,a,3027
can,allow,3
can,get,1392
capable,of,131
check,out,3054
children,to,72
come,to,2496
compared,to,311
computer,and,15
could,be,2820
could,not,699
credit,for,40
cut,a,31
day,meta,8119
does,not,2181
fact,that,2009
feels,like,313
first,time,2035
food,network,11
for,it,1729
for,this,3272
for,those,1246
for,your,3245
from,an,231
from,her,395
from,my,1862
front,of,1325
give,you,735
go,with,340
good,thing,422
got,to,1960
growing,up,189
havent,been,326
he,could,665
he,said,3876
her,daughter,67
her,fiddle,3
here,meta,3306
here,we,264
his,own,1097
history,of,354
how,it,687
i,could,6229
i,found,1737
i,guess,2640
i,went,1747
if,they,2265
im,the,207
in,and,2700
in,from,45
in,many,285
in,order,1411
in,other,636
industrial,action,3
is,it,3787
is,more,791
is,no,2156
is,there,828
is,trying,81
is,what,1766
it,and,3217
it,cannot,11
it,for,1507
it,in,2864
it,seems,1159
it,works,180
it,you,273
ive,ever,306
just,have,293
just,in,322
keep,the,549
know,the,1150
large,bowl,31
length,of,47
let,us,694
life,and,937
like,you,967
line,of,176
long,time,864
made,it,1060
make,a,3320
make,the,1683
many,of,1822
may,be,2553
me,and,3982
me,that,1532
mix,of,128
more,about,535
much,of,1090
my,guess,9
not,a,4444
not,be,2317
not,one,172
now,i,2678
now,we,234
number,of,2089
of,his,4564
of,in,233
of,people,1751
of,which,803
off,the,2856
old,energy,3
on,april,169
on,your,3136
once,again,518
one,and,431
or,anything,86
or,two,602
order,to,1138
out,that,709
page,elements,3
passion,for,40
pay,for,388
people,are,1223
picked,up,453
pretty,much,696
rest,of,2180
right,meta,2132
says,that,179
see,how,756
she,is,2720
she,would,402
show,you,254
so,in,209
so,we,1688
something,i,386
soon,as,497
spray,paint,12
start,to,366
still,a,338
such,a,4159
sure,to,932
thanks,for,14748
thanks,to,2348
that,a,1688
that,has,1390
that,meta,5979
that,you,5352
the,ability,246
the,and,789
the,book,2201
the,books,313
the,border,67
the,bowl,95
the,butter,61
the,efsf,5
the,event,495
the,fact,2214
the,family,727
the,film,899
the,following,827
the,food,436
the,heart,450
the,history,207
the,image,283
the,kind,468
the,life,342
the,mark,51
the,mob,10
the,object,32
the,of,1195
the,oven,260
the,park,317
the,party,506
the,place,618
the,red,340
the,scenes,23
the,ship,74
the,shot,23
the,site,339
the,story,1896
the,sweet,44
the,time,5691
the,top,2322
the,tuns,3
the,united,1049
the,us,2276
the,very,1062
their,children,145
their,meta,5
then,i,2114
these,are,908
they,can,1413
they,were,4416
thing,as,64
things,i,611
things,like,221
think,we,320
this,book,927
this,post,694
this,will,549
those,people,76
those,who,2387
thought,it,604
time,in,1107
time,meta,5831
time,the,449
time,we,380
to,buy,1194
to,cook,118
to,help,3198
to,in,250
to,meta,3916
to,move,816
to,not,448
to,read,1707
to,share,1579
to,stop,1161
to,them,1045
to,us,776
to,you,4993
too,much,2326
two,of,614
understand,the,233
united,states,940
up,with,3925
us,meta,2458
us,to,1538
used,the,306
used,to,3227
using,the,636
wait,to,3007
was,about,308
was,pretty,270
way,of,904
way,through,143
we,just,486
we,know,604
we,seem,5
we,watched,13
we,would,758
wear,a,68
week,we,50
well,as,2544
went,to,2371
what,a,2828
what,is,3941
what,the,2422
what,we,1650
what,you,4544
when,he,2492
when,they,2098
where,the,1836
with,her,1795
with,me,2483
with,that,1174
with,your,1853
you,all,1798
you,guys,2925
you,must,438
you,need,2617
you,take,218
you,want,4294
you,will,3720
=,add,137
=,all,2775
=,although,255
=,am,202
=,an,475
=,blood,4
=,by,774
=,c,93
=,cant,2050
=,congratulations,317
=,got,1129
=,have,2186
=,here,1126
=,however,382
=,michael,55
=,mr,170
=,oh,7680
=,on,3401
=,one,2851
=,pretty,173
=,right,311
=,tbsp,26
=,thanks,17772
=,then,1143
=,there,4095
=,through,40
=,update,37
=,yes,5364
a,banana,6
a,book,952
a,boy,164
a,change,133
a,child,624
a,common,81
a,cute,67
a,daydream,2
a,dog,124
a,fun,436
a,group,537
a,harmful,2
a,high,259
a,higher,58
a,hour,44
a,hundred,50
a,king,14
a,man,1788
a,masculine,2
a,mix,45
a,modern,29
a,natural,68
a,one,62
a,piece,398
a,place,766
a,positive,94
a,program,24
a,project,94
a,really,539
a,roll,8
a,shaker,2
a,short,486
a,significant,82
a,straw,2
a,strip,14
a,surprise,68
a,take,2
a,total,222
a,walk,97
a,walking,6
a,way,1329
a,year,2220
about,a,1838
about,an,113
about,his,308
across,the,1587
added,a,106
admit,that,107
afghan,civilians,2
after,a,1787
again,the,136
against,the,1510
all,good,93
all,he,68
all,that,1446
all,your,414
also,be,352
also,give,2
although,the,184
although,this,14
among,the,630
amount,of,1117
an,example,142
an,important,146
and,again,192
and,all,2042
and,allow,46
and,april,4
and,are,838
and,can,351
and,cook,138
and,dangerous,9
and,dont,385
and,down,144
and,feeling,22
and,friends,212
and,get,1736
and,got,291
and,had,884
and,have,1843
and,informative,2
and,instead,39
and,keep,227
and,made,345
and,many,316
and,maybe,239
and,meta,1319
and,missiles,2
and,nick,9
and,not,2445
and,of,902
and,on,856
and,one,940
and,please,12
and,quite,24
and,running,41
and,s,74
and,says,43
and,should,68
and,striking,2
and,their,1301
and,to,2446
and,understanding,16
and,was,1640
and,with,754
another,people,2
answers,to,22
anything,for,38
appear,on,12
april,and,45
are,able,54
are,drawn,4
are,just,621
are,likely,29
are,looking,219
are,made,93
are,many,197
are,not,2878
are,very,358
arrived,at,70
as,and,15
as,for,287
as,if,1080
as,is,165
as,long,695
as,these,31
as,this,178
as,to,640
associated,with,183
assume,that,41
at,am,1045
at,fault,2
at,his,373
at,meta,2461
at,our,302
at,pm,2236
at,some,359
at,what,106
at,will,6
ate,the,6
autism,speaks,11
available,to,112
awe,of,14
back,into,324
back,on,773
bad,guy,20
be,allowed,40
be,associated,4
be,at,719
be,honest,251
be,in,2837
be,meta,1181
be,no,132
be,what,25
beauty,in,12
became,president,2
because,it,1573
because,of,2825
because,she,292
because,they,1322
become,a,766
been,dropped,2
been,to,267
been,very,59
before,they,192
behind,the,604
being,a,1481
being,dubbed,2
best,man,4
betrayal,is,2
between,member,2
between,the,1246
bird,to,2
bit,that,4
bites,of,2
book,to,68
books,i,72
both,of,386
brand,of,12
but,ive,137
but,so,45
but,to,396
butter,in,10
buy,some,18
calls,the,12
came,to,990
cameras,view,2
can,check,15
can,give,56
can,go,287
can,happen,25
can,have,304
can,use,184
can,watch,20
cant,you,10
card,and,96
cat,is,6
change,from,8
chicken,in,6
child,care,11
childhood,hunger,2
chopped,meta,21
circle,from,2
civil,rights,53
clear,that,120
click,the,25
come,from,275
come,out,654
come,up,445
common,market,2
completely,and,4
concepts,of,2
cook,until,24
could,have,1384
country,meta,123
course,i,242
craft,world,2
cranky,and,4
crossed,the,12
crossing,the,12
curious,about,16
curse,workers,2
cut,the,161
day,and,1240
days,later,62
dealing,with,254
dedicated,to,69
degree,in,47
demanding,and,2
dental,floss,2
described,as,79
didnt,really,49
dinner,with,38
disagree,with,14
disappointment,to,2
do,have,217
do,it,3777
do,meta,2628
do,some,158
does,it,528
doesnt,have,309
doesnt,want,57
dog,fighting,7
dollars,meta,14
done,by,61
done,so,22
done,with,285
dont,make,103
dont,try,13
dont,want,1958
door,meta,72
down,to,1516
draft,which,2
dubbed,a,2
during,a,311
easier,to,177
elements,of,41
emv,for,2
enjoy,some,6
everywhere,at,2
exactly,what,315
excited,about,400
expensive,but,2
families,who,6
feeling,personal,2
few,bites,2
few,weeks,580
figure,out,570
films,and,9
firebox,and,2
first,thing,115
fit,in,64
flashlight,to,2
food,meta,231
for,about,420
for,an,1836
for,another,404
for,child,4
for,example,921
for,instance,174
for,its,365
for,more,1282
for,my,4847
for,myself,130
for,now,393
for,of,20
for,one,664
for,our,1833
for,over,152
for,several,120
for,something,199
for,two,314
form,of,550
formula,one,8
found,the,264
franklin,has,2
franklin,is,2
from,his,615
from,me,299
from,there,111
from,these,23
from,to,402
from,your,297
fun,the,4
fun,to,275
get,it,2074
go,there,39
going,everywhere,2
good,for,600
gospel,and,2
got,a,3443
got,home,121
governments,such,2
graphs,starting,2
group,of,732
guess,i,209
guess,is,12
guys,or,2
had,never,171
had,planned,12
had,the,1626
half,way,27
happen,if,8
happens,when,55
hard,to,2134
harmful,program,2
has,in,22
have,already,121
have,also,113
have,it,575
have,made,378
have,met,24
have,more,273
have,no,1971
have,you,2578
he,also,509
he,did,696
he,has,2702
he,went,169
heart,and,187
heart,of,170
heart,to,23
help,but,171
help,you,457
her,husband,298
her,life,214
here,are,895
him,and,1047
him,to,1580
his,heart,49
home,meta,1214
host,and,2
hour,or,19
how,i,1403
how,is,332
how,long,275
how,many,1473
how,much,2338
how,we,344
however,you,12
hunger,games,170
i,decided,1269
i,do,5495
i,havent,1790
i,invite,2
i,may,753
i,might,970
i,need,6448
i,never,1602
i,normally,4
i,plan,82
i,read,749
i,really,3930
i,see,2256
i,still,2111
i,wasnt,812
i,wont,827
i,wouldnt,487
i,wrapped,4
idea,of,719
idea,what,102
if,a,377
if,i,7930
if,its,557
if,thats,38
if,the,2794
if,there,458
if,your,595
if,youre,2127
if,youve,147
ill,be,2552
im,going,2883
im,sure,1190
images,that,6
import,rules,2
improve,your,4
in,all,1122
in,awe,26
in,case,444
in,each,168
in,every,294
in,front,1153
in,good,59
in,her,1777
in,its,856
in,love,1099
in,meta,3836
in,november,168
in,there,492
in,to,1013
inside,the,304
instead,of,2378
interest,in,297
interested,in,1066
into,it,191
into,thirds,2
invite,you,6
involved,in,429
ipr,import,2
is,about,924
is,all,886
is,also,1436
is,another,185
is,as,361
is,exactly,71
is,i,318
is,important,220
is,just,1889
is,low,2
is,newly,2
is,one,2130
is,over,222
is,scheming,2
is,something,507
is,too,379
is,used,91
it,all,2352
it,always,36
it,as,1008
it,but,1271
it,down,313
it,gets,182
it,has,2779
it,i,2423
it,just,1052
it,made,167
it,matters,2
it,might,471
it,really,538
it,right,212
it,so,753
it,that,394
it,wasnt,994
it,with,1188
it,would,3619
items,which,2
its,a,6851
its,as,25
its,been,1378
its,the,1903
ive,got,481
ive,had,429
ive,made,40
jolomo,award,2
joy,in,15
just,bought,50
just,finished,320
just,how,161
kids,are,114
kind,who,4
know,a,114
know,for,38
know,meta,1599
know,this,207
later,meta,340
leaders,are,8
learned,a,38
less,than,1106
let,me,3336
let,the,512
life,in,288
life,meta,2773
life,without,12
like,it,1886
like,that,1948
like,to,4826
like,we,114
likely,to,542
list,of,740
living,until,2
long,as,777
long,line,4
looking,for,3265
lot,from,2
lot,meta,163
love,you,5240
made,for,153
made,from,94
made,sure,24
made,the,714
major,in,4
make,it,3803
make,more,26
make,some,130
make,sure,1947
make,them,206
manager,of,29
many,things,119
many,years,251
may,have,1294
maybe,ill,27
me,in,1417
me,of,468
me,on,891
mean,a,16
means,that,274
member,countries,2
members,at,2
met,and,8
method,for,2
mighty,coala,2
million,and,30
million,autistics,2
minutes,meta,292
missed,it,44
modern,tattoo,2
money,from,31
money,in,56
months,later,26
months,meta,127
more,and,522
more,children,6
most,of,3167
mr,griffin,2
much,any,6
much,as,1066
must,have,593
my,collegue,2
my,friend,1109
my,heart,1188
my,mother,486
my,new,1550
my,opinion,165
my,shin,2
my,sister,446
my,time,200
my,way,715
myself,meta,321
mystery,of,13
nesties,for,2
never,been,388
never,heard,85
newly,created,2
next,day,227
no,consequences,2
no,idea,745
no,interest,16
no,one,2699
no,such,29
nobody,wants,5
not,fun,6
not,going,797
not,need,37
not,quite,168
not,take,56
now,im,523
number,and,28
of,and,933
of,but,54
of,going,40
of,how,708
of,human,93
of,liberation,2
of,money,228
of,per,4
of,politics,6
of,shoes,22
of,so,24
of,society,25
of,their,3361
of,times,116
of,trafficking,2
of,us,3000
of,year,105
of,young,38
of,your,4435
off,to,1411
omar,khadr,4
on,draft,6
on,i,170
on,it,1649
on,my,9032
on,to,1522
on,top,766
on,track,35
one,but,102
one,is,769
one,with,104
open,and,72
oprah,and,2
or,in,262
or,more,344
other,hand,239
other,side,217
our,country,54
our,current,7
our,th,30
out,and,2135
out,as,116
out,for,1438
out,her,46
out,in,1306
out,meta,5283
out,on,1126
out,the,3890
out,there,2258
out,with,993
oven,to,91
over,a,781
over,and,876
over,for,41
over,how,10
owl,post,2
own,defense,2
pair,of,374
pegg,has,4
people,and,618
people,he,16
people,is,10
people,were,187
perhaps,it,28
pile,of,45
place,but,9
place,of,115
place,the,169
place,where,144
plan,on,94
planned,a,4
please,do,64
point,i,102
points,out,24
policy,to,2
portion,of,115
post,on,105
pretty,good,384
prevalence,of,2
price,of,79
put,into,59
put,it,570
put,the,518
rate,of,59
realized,that,196
recipe,i,15
remove,the,88
right,and,183
right,now,6762
rights,are,6
rights,movements,2
risk,of,120
roll,a,2
ronan,and,2
rugs,are,2
said,the,2147
save,the,123
say,and,25
say,its,56
schools,are,17
see,a,810
see,meta,332
see,that,612
see,the,3202
see,you,4509
set,up,631
several,years,91
shaker,pint,2
share,our,10
she,and,113
she,knows,52
she,says,239
she,was,3716
sheet,and,8
should,not,290
sign,of,87
since,i,1285
since,you,38
slice,of,42
so,has,2
so,im,627
so,of,29
so,so,310
so,to,387
so,well,170
some,beer,2
some,people,746
some,time,557
someone,who,615
something,like,262
something,to,725
sort,of,1477
sorts,of,132
space,for,33
sprinkle,with,18
starting,at,54
step,in,46
stir,up,4
story,is,165
stuck,in,167
such,thing,16
sure,you,456
sweet,potatoes,14
take,away,44
taking,no,2
taste,meta,34
tell,you,1462
than,can,2
than,it,160
than,just,124
than,the,2312
than,to,137
thank,you,12828
that,although,10
that,day,339
that,in,1016
that,isnt,41
that,ive,383
that,many,223
that,may,186
that,some,266
that,we,4070
that,were,716
thats,not,556
the,action,79
the,afternoon,118
the,air,623
the,answer,313
the,answers,39
the,bad,175
the,bird,59
the,body,377
the,bottom,866
the,business,215
the,button,24
the,cameras,19
the,central,116
the,characters,306
the,circuit,4
the,conference,93
the,courthouse,8
the,credit,25
the,cruise,4
the,dialogue,6
the,door,976
the,dough,187
the,evening,204
the,expression,16
the,flashlight,4
the,game,2482
the,general,191
the,goods,9
the,grains,2
the,grooms,4
the,group,467
the,hill,91
the,hog,4
the,house,2272
the,ingredients,69
the,intense,6
the,ipr,2
the,island,107
the,jolomo,2
the,key,244
the,kids,1272
the,kitchen,443
the,length,33
the,library,240
the,light,396
the,list,414
the,local,509
the,lord,1027
the,magazine,26
the,main,956
the,majority,244
the,marketplace,2
the,memory,29
the,middle,1439
the,modern,83
the,monkey,16
the,mothers,19
the,mystery,37
the,new,6834
the,nuj,2
the,old,1142
the,owl,4
the,pan,144
the,paper,219
the,placenta,6
the,prevalence,2
the,progress,12
the,real,932
the,redemption,4
the,right,2913
the,risk,85
the,skirt,27
the,student,53
the,sun,1025
the,swartkops,2
the,things,848
the,track,70
the,two,1851
the,underground,6
the,usual,141
the,vampire,30
the,vision,18
the,walton,2
the,weekend,809
the,white,576
the,word,1497
the,work,629
the,worlds,322
the,years,509
their,daughters,2
their,families,56
their,lives,293
their,own,1859
their,respective,16
them,a,223
them,meta,3925
them,with,337
there,meta,4048
there,there,4
theres,more,13
these,meta,25
they,did,363
they,do,794
they,got,100
thing,that,497
things,and,194
things,but,38
things,that,1139
think,this,190
this,as,168
this,being,14
this,construction,2
this,day,351
this,foundation,2
this,on,55
this,pretty,2
this,sight,2
this,stage,29
this,story,183
this,weekend,2438
this,would,229
this,year,3949
though,i,862
though,it,256
through,a,565
throughout,the,716
thus,we,2
time,and,1699
time,for,2094
time,i,2923
time,this,92
tired,sloppy,2
to,attach,4
to,believe,425
to,check,825
to,complete,155
to,connect,78
to,create,1162
to,cut,277
to,eat,1142
to,find,3742
to,her,1684
to,his,1917
to,i,154
to,is,42
to,keep,3369
to,lecture,4
to,let,864
to,life,149
to,major,2
to,mention,304
to,much,51
to,other,204
to,pay,1062
to,play,2130
to,pray,55
to,remember,317
to,sell,278
to,startup,2
to,stay,1040
to,stir,2
to,tell,1581
to,think,1468
to,this,2224
to,try,1774
to,use,2704
to,wait,305
to,walk,342
to,win,1487
to,work,4188
to,write,1454
today,and,577
today,i,1178
today,meta,6499
together,we,22
too,long,259
too,many,634
took,place,61
top,and,76
tuns,are,2
turned,out,443
two,or,58
type,of,734
under,the,1759
up,a,1728
up,i,403
up,in,2642
up,my,558
up,some,131
up,their,59
us,all,130
use,of,879
used,a,253
used,it,41
using,a,345
veganism,does,2
very,enjoyable,2
very,few,46
very,well,275
view,of,220
wait,for,1383
wait,meta,383
walk,in,85
walking,back,2
walking,in,12
walton,building,2
wanting,to,308
was,all,328
was,born,452
was,going,1331
was,in,2487
was,much,33
was,no,607
was,so,1727
was,still,560
watch,all,2
watch,it,175
watched,the,95
water,meta,155
way,home,51
way,i,640
we,cannot,57
we,could,855
we,did,511
we,got,927
we,havent,69
we,must,341
we,will,2758
wear,pyjamas,2
websites,are,2
weekend,meta,2114
well,be,496
well,how,6
well,meta,2179
were,still,126
were,the,658
what,can,159
what,happens,294
what,it,1359
what,might,15
what,to,1003
whatever,we,4
whatsoever,the,2
when,a,625
when,its,291
when,we,2296
where,it,322
where,she,159
where,they,521
where,you,967
while,the,1111
white,cat,2
white,guys,2
who,are,2103
who,earn,4
who,had,771
who,need,21
why,i,1182
will,agree,4
will,give,167
will,make,471
will,see,191
will,show,22
with,an,1515
with,his,1673
with,in,59
with,it,1469
with,my,5967
with,our,651
with,some,1276
with,them,903
within,the,763
without,a,467
without,it,26
women,are,70
work,as,60
work,had,2
work,to,172
work,with,600
working,on,1808
works,for,114
world,the,47
world,war,101
would,also,74
would,make,329
would,not,866
wouldnt,want,18
years,old,374
yes,i,1168
yet,meta,895
you,always,90
you,could,1538
you,dont,4831
you,from,127
you,get,3043
you,had,729
you,may,1163
you,might,861
you,roll,2
you,that,491
your,chances,6
your,computer,25
your,ex,23
your,fabric,12
your,home,126
your,shelter,2
=,13,140898
13,hour,23500
0,7.01E+14,29
0,7.03E+14,25
0,7.05E+14,29
0,7.06E+14,29
0,7.07E+14,29
0,7.08E+14,29
0,7.10E+14,28
0,7.15E+14,30
0,7.17E+14,29
0,7.19E+14,29
0,7.20E+14,29
0,7.22E+14,30
0,7.25E+14,29
0,7.26E+14,29
0,7.30E+14,15
0,7.32E+14,15
0,7.33E+13,15
0,7.35E+14,15
7.01E+14,min,29
7.03E+14,min,25
7.05E+14,min,29
7.06E+14,min,29
7.07E+14,min,29
7.08E+14,min,29
7.10E+14,min,28
7.15E+14,min,30
7.17E+14,min,29
7.19E+14,min,29
7.20E+14,min,29
7.22E+14,min,30
7.25E+14,min,29
7.26E+14,min,29
7.30E+14,min,15
7.32E+14,min,15
7.33E+13,min,169
7.35E+14,min,15
0,7.04E+14,27
0,7.09E+14,22
0,7.14E+14,28
0,7.16E+14,26
0,7.18E+14,27
0,7.21E+13,28
0,7.23E+14,28
0,7.24E+14,28
0,7.28E+14,14
0,7.31E+14,14
